quarantine_key,order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code
1,O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,1,INVALID_QUANTITY
2,O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,1,INVALID_QUANTITY
3,O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,1,PRODUCT_NOT_FOUND
4,O000291,,C0165,P041,2.0,1291.92,0,Cash,Online,2026-01-06 23:59:00,1,INVALID_DATETIME
5,O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,1,CUSTOMER_NOT_FOUND
6,O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,1,PRODUCT_NOT_FOUND
7,O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00,1,MISSING_CUSTOMER_ID
8,O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,1,CUSTOMER_NOT_FOUND
9,O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120,Credit Card,Online,2026-01-16 23:59:00,1,INVALID_DISCOUNT
10,O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10,PromptPay,Online,2026-01-19 23:59:00,1,MISSING_CUSTOMER_ID
11,O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00,1,INVALID_QUANTITY
12,O000388,,C0086,P027,1.0,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00,1,INVALID_DATETIME
13,O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120,Credit Card,Store,2026-01-31 23:59:00,1,INVALID_DISCOUNT
14,O000278,2026-02-01 02:14:00,C0022,P035,4.0,,0,PromptPay,Marketplace,2026-02-02 23:59:00,1,INVALID_UNIT_PRICE
15,O000262,,C0097,P044,5.0,766,0,Credit Card,Store,2026-02-03 23:59:00,1,INVALID_DATETIME
16,O000139,2026-02-03 21:12:00,C0072,P039,4.0,,5,Cash,Online,2026-02-04 23:59:00,1,INVALID_UNIT_PRICE
17,O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5,Cash,Online,2026-02-06 23:59:00,1,MISSING_CUSTOMER_ID
18,O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15,Credit Card,Online,2026-02-08 23:59:00,1,MISSING_CUSTOMER_ID
19,O000417,2026-02-09 22:58:00,C0021,P011,3.0,,0,Bank Transfer,Marketplace,2026-02-10 23:59:00,1,INVALID_UNIT_PRICE
20,O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,1,INVALID_QUANTITY
21,O000131,,C0152,P037,1.0,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,1,INVALID_DATETIME
22,O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,1,MISSING_CUSTOMER_ID
23,O000393,,C0148,P037,5.0,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00,1,INVALID_DATETIME
24,O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120,Credit Card,Store,2026-03-01 23:59:00,1,INVALID_DISCOUNT
25,O000097,,C0110,P040,5.0,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,1,INVALID_DATETIME
26,O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120,PromptPay,Online,2026-03-03 23:59:00,1,INVALID_DISCOUNT
27,O000107,2026-03-03 15:13:00,C0130,P999,1.0,766,15,PromptPay,Store,2026-03-04 23:59:00,1,PRODUCT_NOT_FOUND
28,O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10,Credit Card,Online,2026-03-05 23:59:00,1,INVALID_QUANTITY
29,O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0,Credit Card,Online,2026-03-16 23:59:00,1,INVALID_QUANTITY
30,O000194,,C0075,P003,3.0,344.85,10,Cash,Online,2026-03-20 23:59:00,1,INVALID_DATETIME
31,O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,1,INVALID_QUANTITY
32,O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,1,INVALID_QUANTITY
